2026-05-10 20:09:40 [info] [ClaudeSSHManager] Initialized with version 869762545054f8caf5b0e36192651744a2461d3b
2026-05-10 20:41:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:41:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:41:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:42:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:43:34 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:45:50 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:46:08 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:47:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:48:08 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:51:32 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 20:51:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:00:58 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:01:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:10:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:11:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:28:39 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:28:54 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:29:21 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:35:22 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:35:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:36:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:37:29 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:38:38 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 21:39:50 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:37:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:37:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:38:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:39:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:45:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:45:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:49:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:49:27 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:59:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-10 23:59:26 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:12:16 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-05-11 08:12:38 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:12:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:14:08 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:14:32 [info] [remote] network-interface change detected; probing SSH controllers
