Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28820444,The Elephant in the Brain: Hidden Motives in Everyday Life,Kevin Simler,"Simler, Kevin",Robin Hanson,"=""0190496010""","=""9780190496012""",0,Oxford University Press,ebook,408,2017,2017,,2026/05/19,to-read,to-read (#57),to-read,,,,0,0
62622284,New Infinitary Mathematics,Petr Vopěnka,"Vopěnka, Petr","Hana Moravcová, Roland Andrew Letham, Václav Paris, Alena Vencovska","=""8024646633""","=""9788024646633""",5,"Karolinum Press, Charles University",Paperback,352,2023,,,2026/04/13,currently-reading,currently-reading (#14),currently-reading,,,,1,0
19182062,"The Antidepressant Solution: A Step-by-Step Guide to Safely Overcoming Antidepressant Withdrawal, Dependence, and ""Addiction"" (A Guide for Patients and Doctors)",Joseph Glenmullen,"Glenmullen, Joseph",,"=""074328898X""","=""9780743288989""",5,Free Press,Kindle Edition,272,2006,2004,,2026/04/10,currently-reading,currently-reading (#13),currently-reading,,,,1,0
13155290,Several Short Sentences About Writing,Verlyn Klinkenborg,"Klinkenborg, Verlyn",,"=""0307266346""","=""9780307266347""",0,Knopf,Hardcover,224,2012,2012,,2026/03/15,to-read,to-read (#56),to-read,,,,0,0
222376492,This Is for Everyone: The Unfinished Story of the World Wide Web,Tim Berners-Lee,"Berners-Lee, Tim",,"=""0374612463""","=""9780374612467""",0,"Farrar, Straus and Giroux",Hardcover,400,2025,2025,,2026/02/12,to-read,to-read (#55),to-read,,,,0,0
195161506,You Deserve a Tech Union,Ethan Marcotte,"Marcotte, Ethan",,"=""""","=""""",0,A Book Apart,Unknown Binding,,2023,,,2026/02/12,to-read,to-read (#54),to-read,,,,0,0
22559393,Dr. Shipko's Informed Consent for SSRI Antidepressants,Stuart Shipko,"Shipko, Stuart",,"=""""","=""""",5,,Kindle Edition,28,2013,2013,,2024/02/27,,,read,,,,1,0
42399429,How Javascript Works,Douglas Crockford,"Crockford, Douglas",,"=""1949815005""","=""9781949815009""",0,Virgule-Solidus,Paperback,279,2018,,,2026/01/02,currently-reading,currently-reading (#12),currently-reading,,,,1,0
11695844,From Transgender to Transhuman: A Manifesto On the Freedom Of Form (Volume 2),Martine Rothblatt,"Rothblatt, Martine",Harold Brackman,"=""0615489427""","=""9780615489421""",0,Martine Rothblatt,Paperback,156,2011,2011,,2025/11/29,currently-reading,currently-reading (#11),currently-reading,,,,1,0
21748306,Dr. Shipko's Informed Consent For SSRI Antidepressants,Stuart Shipko,"Shipko, Stuart",,"=""1301229598""","=""9781301229598""",5,Smashwords Edition,ebook,,2013,2013,,2024/02/27,,,read,,,,1,0
25305144,2012 Truths of Terasem,Terasem Movement,"Movement, Terasem",,"=""""","=""""",0,Terasem Movement,Kindle Edition,78,2012,2012,,2025/10/07,currently-reading,currently-reading (#10),currently-reading,,,,1,0
6695181,Information: A Very Short Introduction,Luciano Floridi,"Floridi, Luciano",,"=""0199551375""","=""9780199551378""",0,Oxford University Press,Paperback,130,2010,2010,,2025/10/05,to-read,to-read (#53),to-read,,,,0,0
22845560,Nová infinitní matematika: Prolegomena,Petr Vopěnka,"Vopěnka, Petr",,"=""8024625660""","=""9788024625669""",0,Karolinum,Paperback,50,2014,2014,,2025/10/03,to-read,to-read (#52),to-read,,,,0,0
22010664,Hádání v hospodě (27 filosofických disputací ),Petr Vopěnka,"Vopěnka, Petr",,"=""""","=""""",0,Práh,Hardcover,248,2013,2013,,2025/10/03,currently-reading,currently-reading (#9),currently-reading,,,,1,0
29502354,Rest: Why You Get More Done When You Work Less,Alex Soojung-Kim Pang,"Pang, Alex Soojung-Kim",,"=""0465074871""","=""9780465074877""",0,Basic Books,Hardcover,320,2016,2016,,2025/09/30,to-read,to-read (#51),to-read,,,,0,0
26591202,I am an Aspie Girl: A book for young girls with autism spectrum conditions,Danuta Bulhak-Paterson,"Bulhak-Paterson, Danuta","Teresa Ferguson, Tony Attwood","=""1784501107""","=""9781784501105""",0,Jessica Kingsley Publishers,Kindle Edition,32,2015,2015,,2025/09/21,to-read,to-read (#50),to-read,,,,0,0
